annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","110.8720537534976"
"2024","0","2024","0","110.8540980054757"
"2024","3","2024","3","112.040378616425"
"2024","4","2024","4","110.8919184001249"
"2024","5","2024","5","111.0440616627824"
"2024","6","2024","6","111.1231990709865"
"2024","7","2024","7","111.1814269177755"
"2024","0","2024","0","111.0948730157744"
"2024","9","2024","9","111.4223661621828"
"2024","10","2024","10","111.4223661621828"
"2023","1","2023","1","108.4990274841438"
"2023","0","2023","0","108.6713636363636"
"2023","3","2023","3","108.744133192389"
"2023","4","2023","4","108.7608773784355"
"2023","5","2023","5","108.9827378435518"
"2023","6","2023","6","108.6684355179704"
"2023","7","2023","7","110.6158773784355"
"2023","0","2023","0","110.6638054968287"
"2023","9","2023","9","110.8300014290698"
"2023","10","2023","10","110.9237151783561"
"2023","11","2023","11","110.9237151783561"
"2023","0","2023","0","110.7804854941919"
"2022","1","2022","1","110.1241014799154"
"2022","0","2022","0","107.3420084566596"
"2022","3","2022","3","107.3531078224102"
"2022","4","2022","4","107.5996194503171"
"2022","5","2022","5","107.7413636363636"
"2022","6","2022","6","107.9940380549683"
"2022","7","2022","7","108.3268287526427"
"2022","0","2022","0","108.0669450317125"
"2022","9","2022","9","108.0474101479915"
"2022","10","2022","10","108.2521670190275"
"2022","11","2022","11","108.2405391120507"
"2022","0","2022","0","108.6164693446089"
"2021","1","2021","1","105.4706553911205"
"2021","0","2021","0","105.7740803382664"
"2021","3","2021","3","106.5483826638478"
"2021","4","2021","4","105.7261733615222"
"2021","5","2021","5","106.0289640591966"
"2021","6","2021","6","109.3038689217759"
"2021","7","2021","7","109.2523572938689"
"2021","0","2021","0","108.6751479915433"
"2021","9","2021","9","108.639799154334"
"2021","10","2021","10","108.2268921775898"
"2021","11","2021","11","109.5272410147991"
"2021","0","2021","0","110.3730549682875"
"2020","1","2020","1","104.501088794926"
"2020","0","2020","0","104.5134143763214"
"2020","3","2020","3","104.4398308668076"
"2020","4","2020","4","105.3768498942918"
"2020","5","2020","5","105.396955602537"
"2020","6","2020","6","105.2305602536998"
"2020","7","2020","7","105.9672410147991"
"2020","0","2020","0","105.23411205074"
"2020","9","2020","9","104.4407399577167"
"2020","10","2020","10","104.5730761099366"
"2020","11","2020","11","104.665866807611"
"2020","0","2020","0","103.5264482029598"
"2019","1","2019","1","105.2878752642706"
"2019","0","2019","0","104.2464270613108"
"2019","3","2019","3","104.2455813953488"
"2019","4","2019","4","104.2572938689218"
"2019","5","2019","5","104.9342348050781"
"2019","6","2019","6","104.2572938689218"
"2019","7","2019","7","104.0256342494715"
"2019","0","2019","0","104.2127"
"2019","9","2019","9","104.5413"
"2019","10","2019","10","104.6261"
"2019","11","2019","11","104.7559936575053"
"2019","0","2019","0","104.6853276955603"
"2018","1","2018","1","104.1386363636363"
"2018","0","2018","0","104.6639006342495"
"2018","3","2018","3","104.7625052854123"
"2018","4","2018","4","104.9106025369979"
"2018","5","2018","5","106.2631501057082"
"2018","6","2018","6","106.292156448203"
"2018","7","2018","7","106.292156448203"
"2018","0","2018","0","104.8278118393235"
"2018","9","2018","9","104.3599048625793"
"2018","10","2018","10","104.3599048625793"
"2018","11","2018","11","104.6943868921776"
"2018","0","2018","0","104.8311310782241"
"2017","1","2017","1","104.6386257928118"
"2017","0","2017","0","103.9123572938689"
"2017","3","2017","3","105.4138689217759"
"2017","4","2017","4","104.1834143763214"
"2017","5","2017","5","105.5001691331924"
"2017","6","2017","6","105.2962579281184"
"2017","7","2017","7","107.3996934460888"
"2017","0","2017","0","107.7449788583509"
"2017","9","2017","9","107.4060253699788"
"2017","10","2017","10","107.4060253699788"
"2017","11","2017","11","105.7647463002114"
"2017","0","2017","0","105.7647463002114"
